nll,nlpd,nll_val,nlpd_val
1.4795005,8.086901,1.486702,8.109493
1.4186609,5.921606,1.4276887,6.0850606
1.4175812,4.9858117,1.4274997,5.107363
1.4144316,4.694267,1.4253725,4.63691
1.415112,3.8341348,1.427678,4.01495
1.4146556,3.8616517,1.4253759,3.7823033
1.4401655,3.7774267,1.449776,3.6665618
1.4241883,3.5794256,1.4375777,3.5951843
1.417092,3.3864589,1.4300181,3.2587643
1.4334468,3.0662687,1.4472595,3.1042333
1.4454398,3.0698864,1.459641,2.9561756
1.4716487,2.9596913,1.4864635,2.9033525
1.5319055,2.9592843,1.5478879,2.9044251
1.4098552,2.979903,1.4220215,3.0196242
1.5768036,2.802223,1.584499,2.834928
1.4179181,2.465595,1.4291509,2.4526172
1.4104048,2.6105416,1.4222934,2.524815
1.556095,2.6111622,1.5718933,2.645129
1.8406187,2.7667053,1.8589746,2.7131162
1.5326258,2.5955844,1.5481592,2.6424162
1.4829273,2.5261474,1.4977155,2.6355374
1.423244,2.344248,1.4343126,2.3830957
1.4101166,2.3446481,1.422397,2.360437
1.4177688,2.2153924,1.4291475,2.1837206
1.4204742,2.2691982,1.4317144,2.2350347
1.6969625,2.6332092,1.7039665,2.663361
1.4464304,2.2527575,1.4604723,2.2412279
1.4158986,2.3887281,1.4273709,2.3761444
1.4517283,2.1907752,1.4619765,2.2452295
1.4454215,2.217158,1.4557893,2.2047164
1.4332359,2.1738544,1.4469615,2.2135255
1.5391911,2.2266638,1.5549122,2.264876
1.4688915,2.196258,1.4834545,2.23967
1.5808458,2.220398,1.5970899,2.2854207
1.6277689,2.0916712,1.6445273,2.129231
1.6692432,2.464267,1.686398,2.5342813
1.5550373,2.3186746,1.5709362,2.4104192
1.4142327,2.0002403,1.4270415,2.0368247
1.8277835,2.4131637,1.8462695,2.406977
1.4203243,2.072101,1.4334916,2.1061711
1.4597496,1.996519,1.4740967,2.0745435
1.4827898,2.1917164,1.4975841,2.1879456
1.5835606,2.126506,1.599775,2.1588538
1.4229163,2.0672715,1.4362015,2.094968
1.4355723,2.1195643,1.4493093,2.087574
1.5397269,2.0752983,1.5554123,2.0621805
1.4515059,2.013896,1.4617163,2.0021658
1.8729727,2.678512,1.8785572,2.6651137
1.686384,2.2264695,1.6934698,2.2592807
1.5403001,1.9907414,1.548985,1.9901892
1.4643133,2.0021253,1.4742473,2.0179229
2.0152416,2.567707,2.0198998,2.5929108
1.9863014,2.44657,1.991148,2.4957974
1.6343185,2.063575,1.6419243,2.0645678
1.4100955,1.9393795,1.4221957,1.9324596
1.4194505,1.9121333,1.4307036,1.9014127
1.7441494,2.2874303,1.7507448,2.2565453
1.4187918,1.8852631,1.4300807,1.8957424
1.4168898,1.9208794,1.4282818,1.986
1.410085,1.7789924,1.42237,1.8249056
1.659656,2.11727,1.6670105,2.144216
1.5564603,2.1011102,1.5649471,2.0924072
1.5749038,1.9584349,1.5831629,1.9728462
1.429869,1.8993152,1.440697,1.9128388
1.4199643,1.9050856,1.4311912,1.9330208
1.6168625,2.0794108,1.624651,2.0793366
