jobname,agent_name,elapsed,summary
expt5-00,bong_fc-MC100-I1-LR0-EF1-Lin0,32.26419061099999,"Test NLL: 1.4308,  NLPD: 1.5086
Val NLL 1.4453,  NLPD: 1.5258"
expt5-01,blr_fc-MC100-I10-LR0_0001-EF1-Lin0,555.776806186,"Test NLL: 1.4332,  NLPD: 2.8180
Val NLL 1.4426,  NLPD: 2.9008"
expt5-02,blr_fc-MC100-I10-LR0_0005-EF1-Lin0,573.83755204,"Test NLL: 1.4134,  NLPD: 2.1655
Val NLL 1.4256,  NLPD: 2.2198"
expt5-03,blr_fc-MC100-I10-LR0_001-EF1-Lin0,564.154908469,"Test NLL: 1.4189,  NLPD: 1.9748
Val NLL 1.4322,  NLPD: 2.0213"
expt5-04,blr_fc-MC100-I10-LR0_005-EF1-Lin0,500.31959030700006,"Test NLL: 1.4435,  NLPD: 1.6885
Val NLL 1.4585,  NLPD: 1.7222"
expt5-05,blr_fc-MC100-I10-LR0_01-EF1-Lin0,473.66436223499994,"Test NLL: 1.4467,  NLPD: 1.6162
Val NLL 1.4621,  NLPD: 1.6464"
expt5-06,blr_fc-MC100-I10-LR0_05-EF1-Lin0,452.094658792,"Test NLL: 1.4385,  NLPD: 1.5213
Val NLL 1.4550,  NLPD: 1.5450"
expt5-07,bog_fc-MC100-I1-LR0_0001-EF1-Lin0,37.115446297000005,"Test NLL: 1.4218,  NLPD: 2.3365
Val NLL 1.4350,  NLPD: 2.4121"
expt5-08,bog_fc-MC100-I1-LR0_0005-EF1-Lin0,39.267307456,"Test NLL: 1.4434,  NLPD: 1.7126
Val NLL 1.4573,  NLPD: 1.7268"
expt5-09,bog_fc-MC100-I1-LR0_001-EF1-Lin0,39.91720603899999,"Test NLL: 1.4152,  NLPD: 1.6445
Val NLL 1.4267,  NLPD: 1.6552"
expt5-10,bog_fc-MC100-I1-LR0_005-EF1-Lin0,223.44380294400003,"Test NLL: nan,  NLPD: nan
Val NLL nan,  NLPD: nan"
expt5-11,bog_fc-MC100-I1-LR0_01-EF1-Lin0,230.76338314000003,"Test NLL: nan,  NLPD: nan
Val NLL nan,  NLPD: nan"
expt5-12,bog_fc-MC100-I1-LR0_05-EF1-Lin0,232.00196993400002,"Test NLL: nan,  NLPD: nan
Val NLL nan,  NLPD: nan"
expt5-13,bbb_fc-MC100-I10-LR0_0001-EF1-Lin0,562.5826930970001,"Test NLL: 1.4870,  NLPD: 1.7142
Val NLL 1.5019,  NLPD: 1.7287"
expt5-14,bbb_fc-MC100-I10-LR0_0005-EF1-Lin0,563.451118896,"Test NLL: 1.4890,  NLPD: 1.6372
Val NLL 1.5039,  NLPD: 1.6530"
expt5-15,bbb_fc-MC100-I10-LR0_001-EF1-Lin0,571.8379842920001,"Test NLL: 1.4935,  NLPD: 1.6319
Val NLL 1.5085,  NLPD: 1.6544"
expt5-16,bbb_fc-MC100-I10-LR0_005-EF1-Lin0,460.923669256,"Test NLL: 1.4695,  NLPD: 1.6738
Val NLL 1.4841,  NLPD: 1.7053"
expt5-17,bbb_fc-MC100-I10-LR0_01-EF1-Lin0,3208.2757810440003,"Test NLL: nan,  NLPD: nan
Val NLL nan,  NLPD: nan"
expt5-18,bbb_fc-MC100-I10-LR0_05-EF1-Lin0,3428.981928406,"Test NLL: nan,  NLPD: nan
Val NLL nan,  NLPD: nan"
